,SMILES,Molecule Name,LogD,LogS,Log_HLM_CLint,Log_MLM_CLint,Caco-2 Permeability Papp A>B,Caco-2 Permeability Efflux,MPPB,MBPB,MGMB,LogD modifier,KSOL modifier,HLM CLint modifier,MLM CLint modifier,Caco-2 Permeability Papp A>B modifier,Caco-2 Permeability Efflux modifier,MPPB modifier,MBPB modifier,MGMB modifier,INCHIKEY
0,COc1cccc(Cl)c1NC(=O)N1CCC[C@H](C(N)=O)C1,ASAP-0032437,0.3,,,,,,,,,=,,,,,,,,,
1,O=C(NCC(F)F)[C@H](Nc1cc2c(cc1Br)CNC2)c1cc(Cl)cc(C2CC2)c1,ASAP-0031915,2.9,-3.4762535331884354,,,,,,,,=,=,,,,,,,,
2,O=C(NCC(F)F)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Br)cc2nc[nH]c12,ASAP-0031884,0.4,,,,,,,,,=,,,,,,,,,
3,NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3occc23)C1,ASAP-0031848,1.0,-3.423658649794207,,,,,,,,=,=,,,,,,,,
4,Cc1cc(CC(=O)N2CCC[C@H](C(N)=O)C2)ccn1,ASAP-0031813,-0.3,-3.424812155072339,,,,,,,,=,=,,,,,,,,
5,O=C(NCC(F)F)[C@H](Nc1cnc2c(c1)CNC2)c1cc(Cl)cc(C2CC2)c1,ASAP-0031747,1.5,-3.4400933749638876,,,,,,,,=,=,,,,,,,,
6,COc1cc(Cl)cc([C@H](Nc2ccc3c(c2)CNC3)C(=O)NCC(F)F)c1,ASAP-0031580,0.5,,,,,,,,,=,,,,,,,,,
7,Cc1cc([C@H](Nc2ccc3c(c2)CNC3)C(=O)NCC(F)F)cc(C(F)(F)F)c1,ASAP-0031651,1.0,,,,,,,,,=,,,,,,,,,
8,O=C(NCC(F)F)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2ccoc12,ASAP-0031402,0.6,-3.72584215073632,,,,,,,,=,=,,,,,,,,
9,CC(C)NC(=O)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]c(-c3ccccc3)nc12,ASAP-0031455,2.8,-3.869666231504994,,1.0791812460476249,,,,,,=,=,,=,,,,,,
10,CN(c1ccc2c(c1)CNC2)[C@H](C(=O)NCC(F)F)c1cc(Cl)cc(C2CC2)c1,ASAP-0031351,1.6,-3.7619538968712045,1.2576785748691846,1.0644579892269184,,,,,,=,=,=,=,,,,,,
11,COCc1cc(Cl)cc([C@H](Nc2ccc3c(c2)CNC3)C(=O)NCC(F)F)c1,ASAP-0031379,0.2,-3.714442690992226,,,,,,,,=,=,,,,,,,,
12,COc1cc(C#N)cc([C@H](Nc2ccc3c(c2)CNC3)C(=O)NCC(F)F)c1,ASAP-0031332,-0.4,-3.417936637088291,,,,,,,,=,=,,,,,,,,
13,O=C(NCC(F)F)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2c1CCC2,ASAP-0031390,1.2,,,,,,,,,=,,,,,,,,,
14,N#Cc1cccc(-c2nc3c(C(=O)Nc4ccc5c(c4)CNC5)cc(F)cc3[nH]2)c1,ASAP-0031247,2.0,-5.3979400086720375,,1.3617278360175928,,,,,,=,=,,=,,,,,,
15,O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]c(-c3ccc(F)cc3)nc12,ASAP-0031237,2.9,-5.154901959985743,,1.5774917998372253,,,,,,=,=,,=,,,,,,
16,O=C(Nc1cc2c(c(-c3c[nH]c(=O)c(F)c3)c1)CNC2)c1cc(F)cc2[nH]ncc12,ASAP-0031274,0.4,-4.173925197299174,,2.387389826338729,,,,,,=,=,,=,,,,,,
17,N#Cc1cc2c(cc1NC(=O)c1cc(F)cc3[nH]ncc13)CNC2,ASAP-0031265,0.6,-3.712198270069774,1.2479732663618066,2.4608978427565478,,,,,,=,=,=,=,,,,,,
18,O=C(Nc1cc2c(c(C3=CCOCC3)c1)CNC2)c1cc(F)cc2[nH]ncc12,ASAP-0031147,0.9,-3.8013429130455774,,2.184691430817599,,,,,,=,=,,=,,,,,,
19,CO[C@H]1C[C@H](n2ncc3c(C(=O)Nc4ccc5c(c4)CNC5)cc(Cl)cc32)C1,ASAP-0031157,1.5,-3.4672456210075024,,,,,,,,=,=,,,,,,,,
20,O=C(Nc1cc2c(c(C3=CCS(=O)(=O)CC3)c1)CNC2)c1cc(F)cc2[nH]ncc12,ASAP-0031155,-0.1,-3.8477116556169437,,1.990782691803138,,,,,,=,=,,=,,,,,,
21,COc1cc(-c2cc(NC(=O)c3cc(F)cc4[nH]ncc34)cc3c2CNC3)ccn1,ASAP-0031141,2.0,-3.7423214251308154,,2.416640507338281,,,,,,=,=,,=,,,,,,
22,O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2c1cnn2C1CCC1,ASAP-0031137,2.0,-3.7619538968712045,,1.1583624920952498,,,,,,=,=,,=,,,,,,
23,CC(C)n1cc2c(C(=O)Nc3ccc4c(c3)CNC4)cc(Cl)cc2n1,ASAP-0031203,1.6,-3.7399286120149253,,,,,,,,=,=,,,,,,,,
24,CCCCNC(=O)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc(C2CC2)c1,ASAP-0031031,2.3,-3.42021640338319,,,,,,,,=,=,,,,,,,,
25,O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc(-c2cn[nH]c2)c1,ASAP-0031004,0.7,-3.7328282715969863,1.5717088318086876,2.74350976472843,,,,,,=,=,=,=,,,,,,
26,O=C(Nc1cc2c(cc1C1CC1)CNC2)c1cc(F)cc2[nH]ncc12,ASAP-0031019,0.7,-3.721246399047171,,1.9434945159061026,,,,,,=,=,,=,,,,,,
27,CNC(=O)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]c(-c3ccccc3)nc12,ASAP-0031092,1.8,-3.7471469690201067,,,,,,,,=,=,,,,,,,,
28,O=C(NCCCF)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc(C2CC2)c1,ASAP-0031104,1.2,-3.40340290437354,,,,,,,,=,=,,,,,,,,
29,O=C(NCC(F)F)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc(C2CC2)c1,ASAP-0030775,1.3,-3.485452247339714,,,,,,,,=,=,,,,,,,,
30,COCCNC(=O)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc(C2CC2)c1,ASAP-0030761,1.0,-3.493494967595128,1.3159703454569178,1.1038037209559568,,,,,,=,=,=,=,,,,,,
31,O=C(NCC(F)F)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc(C2CC2)c1,ASAP-0030776,1.4,-3.853871964321762,,,,,,,,=,=,,,,,,,,
32,O=C(Nc1cc(Br)c2c(c1)CNC2)c1cc(F)cc2[nH]ncc12,ASAP-0030792,1.8,-5.301029995663981,1.1643528557844371,2.164352855784437,,,,,,=,=,=,=,,,,,,
33,CC(C)NC(=O)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]c(-c3ccccc3)nc12,ASAP-0030826,2.9,-3.8096683018297086,1.3838153659804313,,,,,,,=,=,=,,,,,,,
34,O=C1Cc2c(cc(F)cc2C(=O)Nc2ccc3c(c2)CNC3)N1,ASAP-0030065,-0.2,-3.43297363384094,,,,,,,,=,=,,,,,,,,
35,C=CC[C@H]1NCc2cc(NC(=O)c3cc(F)cc4[nH]ncc34)ccc21,ASAP-0030071,1.7,-3.447331783887807,,,,,,,,=,=,,,,,,,,
36,O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2c1CCC2,ASAP-0030106,1.2,-3.72584215073632,,1.5843312243675307,,,,,,=,=,,=,,,,,,
37,Cn1cc2c(C(=O)Nc3ccc4c(c3)CNC4)cc(F)cc2n1,ASAP-0030104,0.2,-3.5086383061657274,,1.2833012287035497,,,,,,=,=,,=,,,,,,
38,O=C(Nc1cc2c(cc1Br)CNC2)c1cc(F)cc2[nH]ncc12,ASAP-0030085,1.1,-4.318758762624412,1.0934216851622351,2.4771212547196626,,,,,,=,=,=,=,,,,,,
39,O=C(Nc1ccc2c(c1)CNC2)c1cccc2[nH]c(C(F)(F)F)cc12,ASAP-0030028,1.5,-3.4282911681913126,1.1789769472931695,1.1367205671564067,,,,,,=,=,=,=,,,,,,
40,O=C1Cc2cc(C(=O)Nc3ccc4c(c3)CNC4)ccc2N1,ASAP-0029950,,-3.8632794328435933,,,,,,,,,=,,,,,,,,
41,Cn1c(=O)[nH]c2c(C(=O)Nc3ccc4c(c3)CNC4)cc(Br)cc21,ASAP-0029933,0.5,-3.7904849854573692,,1.130333768495006,,,,,,=,=,,=,,,,,,
42,O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2cn[nH]c12,ASAP-0029911,1.2,-3.7328282715969863,,1.7403626894942439,,,,,,=,=,,=,,,,,,
43,Cc1c(C(=O)Nc2cc(-c3cccnc3)ccn2)cc(C2CC2)n1C,ASAP-0029790,,-3.7520267336381936,,2.5899496013257077,,,,,,,=,,=,,,,,,
44,N#CCCNC(=O)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc(C2CC2)c1,ASAP-0029645,0.6,-3.425968732272281,,,,,,,,=,=,,,,,,,,
45,CNC(=O)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc(C2CC2)c1,ASAP-0029621,0.9,-3.4449055514216806,,,,,,,,=,=,,,,,,,,
46,O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2ccncc12,ASAP-0029711,0.6,-3.7399286120149253,,1.4065401804339552,,,,,,=,=,,=,,,,,,
47,Cc1c(C(=O)Nc2cc([C@H]3CCOC3)ccn2)cc(C2CC2)n1C,ASAP-0029521,3.0,,1.7686381012476144,,,,,,,=,,=,,,,,,,
48,O=C(NCC(F)F)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc(C2CC2)c1,ASAP-0029491,1.6,-3.4341521813264824,,,,,,,,=,=,,,,,,,,
49,O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]ncc12,ASAP-0029497,,,,2.2576785748691846,,,,,,,,,=,,,,,,
50,COc1ccccc1[C@@H]1C[C@H](C)CCN1C(=O)Cc1cncc2ccccc12,ASAP-0029303,,-3.6595558851598815,,,,,,,,,=,,,,,,,,
51,O=C(Cc1cncc2ccccc12)N1[C@H]2CC[C@H]1c1ncccc12,ASAP-0029289,,-3.422508200162775,,,,,,,,,=,,,,,,,,
52,O=C(Cc1cncc2ccccc12)N1CC[C@@H](Oc2ccc(F)cc2)C1,ASAP-0029293,,-3.4881166390211256,,,,,,,,,=,,,,,,,,
53,C[C@H](F)[C@H]1CCCN1C(=O)Cc1cncc2ccccc12,ASAP-0029276,,-3.415668775632469,,,,,,,,,=,,,,,,,,
54,O=C(Cc1cncc2ccccc12)N1CC[C@H](c2cccc(F)c2)C1,ASAP-0029337,,-3.4424927980943423,,,,,,,,,=,,,,,,,,
55,CO[C@]1(C(F)(F)F)CCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0029313,,-3.4190750243243806,,,,,,,,,=,,,,,,,,
56,CC(C)c1nc([C@H]2CCCN(C(=O)Cc3cncc4ccccc34)C2)no1,ASAP-0029315,,-3.4190750243243806,,,,,,,,,=,,,,,,,,
57,O=C(Cc1cncc2ccccc12)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,ASAP-0029319,,-3.4294570601181027,,,,,,,,,=,,,,,,,,
58,N#CC1(c2ccccc2)CCN(C(=O)Cc2cncc3ccccc23)CC1,ASAP-0029333,,-4.823908740944319,,,,,,,,,=,,,,,,,,
59,O=C(Cc1cncc2ccccc12)N1CCC[C@]2(C=Cc3ccccc3O2)C1,ASAP-0029324,,-3.5734887386354246,,,,,,,,,=,,,,,,,,
60,Cn1cc([C@H]2CCCN2C(=O)Cc2cncc3ccccc23)c(C(F)F)n1,ASAP-0029300,,-3.4122890349810886,,,,,,,,,=,,,,,,,,
61,O=C(Cc1cncc2ccccc12)N1CC[C@]2(CC=CCO2)C1,ASAP-0029271,,-3.416801226031377,,,,,,,,,=,,,,,,,,
62,CNS(=O)(=O)[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0029282,,-3.4190750243243806,,,,,,,,,=,,,,,,,,
63,O=C1C[C@H]2CCN(C(=O)Cc3cncc4ccccc34)C[C@H]2N1,ASAP-0029335,,-3.422508200162775,,,,,,,,,=,,,,,,,,
64,O=C(Cc1cncc2ccccc12)N1CCC(C[C@H]2CCCOC2)CC1,ASAP-0029356,,-3.4190750243243806,,,,,,,,,=,,,,,,,,
65,CC[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)Cc1cncc2ccccc12,ASAP-0029363,,-3.657577319177794,,,,,,,,,=,,,,,,,,
66,O=C(Cc1cncc2ccccc12)N1CC[C@H]2CCC(F)(F)C[C@H]2C1,ASAP-0029343,,-3.425968732272281,,,,,,,,,=,,,,,,,,
67,O=C(Cc1cncc2ccccc12)N1CC[C@]2(CCCc3ccccc32)C1,ASAP-0029346,,-3.5016894462103996,,,,,,,,,=,,,,,,,,
68,CNC(=O)CC1CCN(C(=O)Cc2cncc3ccccc23)CC1,ASAP-0029348,,-3.417936637088291,,,,,,,,,=,,,,,,,,
69,O=C(Nc1ccc2c(c1)CNC2)c1cc(Br)cc2[nH]c(-c3ccccc3)nc12,ASAP-0029352,3.6,,1.1398790864012365,1.651278013998144,,,,,,=,,=,=,,,,,,
70,C[C@H]1CCN(C(=O)Cc2cncc3ccccc23)[C@@H](C2CCOCC2)C1,ASAP-0029353,,-3.422508200162775,,,,,,,,,=,,,,,,,,
71,O=C(Cc1cncc2ccccc12)N1CCC[C@H](c2nnc3ccccn23)C1,ASAP-0029339,,-3.404503778174426,,,,,,,,,=,,,,,,,,
72,Cn1nccc1[C@H]1CCCN1C(=O)Cc1cncc2ccccc12,ASAP-0029358,,-3.42021640338319,,,,,,,,,=,,,,,,,,
73,O=C(Cc1cncc2ccccc12)N1CC[C@H]2OCC[C@H]2C1,ASAP-0029378,,-3.4122890349810886,,,,,,,,,=,,,,,,,,
74,C[C@]1(c2ccccc2)CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0029342,,-3.454692883534176,,,,,,,,,=,,,,,,,,
75,O=C1N[C@H]2CCN(C(=O)Cc3cncc4ccccc34)[C@H]1C2,ASAP-0029380,,-3.408935392973501,,,,,,,,,=,,,,,,,,
76,O=C(Cc1cncc2ccccc12)N1CC[C@H](Oc2ccc(F)c(F)c2)C1,ASAP-0029364,,-3.4485500020271247,,,,,,,,,=,,,,,,,,
77,CNC(=O)[C@H]1CC12CCN(C(=O)Cc1cncc3ccccc13)CC2,ASAP-0029366,,-3.4353339357479107,,,,,,,,,=,,,,,,,,
78,O=C(Cc1cncc2ccccc12)N1CCC[C@H]1C=Cc1cccs1,ASAP-0029365,,-3.441291429466834,,,,,,,,,=,,,,,,,,
79,O=C1Cc2c(cccc2C(=O)Nc2ccc3c(c2)CNC3)N1,ASAP-0029208,0.3,-3.815308569182401,,,,,,,,=,=,,,,,,,,
80,CC(C)NC(=O)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]ncc12,ASAP-0029000,0.5,-3.505845405981557,,,,,,,,=,=,,,,,,,,
81,O=C(Nc1ccc2c(c1)CNC2)c1cc(Br)cc2[nH]ccc12,ASAP-0029002,,,,1.5477747053878226,,,,,,,,,=,,,,,,
82,O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2c1CCC2,ASAP-0029051,1.8,-3.473660722610156,,,,,,,,=,=,,,,,,,,
83,Cn1ncc2c(C(=O)Nc3ccc4c(c3)CNC4)cc(Br)cc21,ASAP-0029092,1.0,-3.4056074496245734,,,,,,,,=,=,,,,,,,,
84,CNC(=O)[C@H](Nc1cc(CN)cc(C(=O)O)c1)c1cc(Cl)cc(C2CC2)c1,ASAP-0028981,0.0,-3.473660722610156,,,,,,,,=,=,,,,,,,,
85,OCC#C[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]ncc12,ASAP-0028990,0.5,-3.8664610916297826,,,,,,,,=,=,,,,,,,,
86,N#C[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]ncc12,ASAP-0028904,0.9,-3.5257837359237447,1.0530784434834197,,,,,,,=,=,=,,,,,,,
87,CNC(=O)[C@H](Nc1cc(CN)cc(-c2nn[nH]n2)c1)c1cc(Cl)cc(C2CC2)c1,ASAP-0028903,1.5,-3.4522252946121776,,,,,,,,=,=,,,,,,,,
88,O=C(Nc1cc(Cl)cc([C@H]2CN(Cc3ccccc3)C[C@@H]2c2cccc(-c3nn[nH]n3)c2)c1)OCc1ccccc1,ASAP-0027928,4.1,,1.6748611407378116,,,,,,,=,,=,,,,,,,
89,Clc1ccc2[nH]cc(Cc3ccc(-c4nn[nH]n4)cc3)c2c1,ASAP-0027972,2.1,,,,,,,,,=,,,,,,,,,
90,O=C(Nc1cc(Cl)cc([C@H](Nc2cccc(-c3nn[nH]n3)c2)C(=O)NCc2ccccc2)c1)OCc1ccccc1,ASAP-0027989,3.7,,,,,,,,,=,,,,,,,,,
91,C=CC[C@H](Nc1ccc(-c2nn[nH]n2)cc1)c1cc(Cl)cc(NC(=O)OCc2ccccc2)c1,ASAP-0027983,3.9,,1.0453229787866574,,,,,,,=,,=,,,,,,,
92,CNC(=O)[C@H](Nc1ccc(-c2nnn[nH]2)cc1)c1cc(Cl)cc(C2CC2)c1,ASAP-0027959,1.1,,,,,,,,,=,,,,,,,,,
93,Cc1ccccc1-c1nnc(Sc2cc(-c3ccccc3)nc3ncnn23)o1,ASAP-0027847,3.7,-5.096910013008056,,,,,,,,=,=,,,,,,,,
94,CCn1c(C)nnc1Sc1cc(C)nc2ncnn12,ASAP-0027872,-0.5,-3.4571745730408203,1.2430380486862944,1.0413926851582251,,,,,,=,=,=,=,,,,,,
95,Cc1cc(Sc2nnc(C)o2)n2ncnc2n1,ASAP-0027864,0.1,-3.447331783887807,2.2624510897304293,2.1818435879447726,,,,,,=,=,=,=,,,,,,
96,Clc1cccc(-c2nnc(Sc3cc(-c4ccccc4)nc4ncnn34)o2)c1,ASAP-0027858,4.1,,,,,,,,,=,,,,,,,,,
97,Cc1nnc(Sc2cc(-c3ccccc3)nc3ncnn23)o1,ASAP-0027841,1.8,-4.214670164989233,,2.66838591669,,,,,,=,=,,=,,,,,,
98,COc1ccc(-c2nnc(Sc3cc(C)nc4ncnn34)o2)cc1,ASAP-0027845,2.4,-5.096910013008056,2.1522883443830563,2.7686381012476144,,,,,,=,=,=,=,,,,,,
99,O=C(Nc1cc(Cl)cc(-c2ccc3[nH]c(C(=O)O)cc3c2)c1)OCc1ccccc1,ASAP-0027839,3.7,-3.447331783887807,,,,,,,,=,=,,,,,,,,
100,O=C(O)Cn1ncc2cc(-c3cc(Cl)cc(NC(=O)OCc4ccccc4)c3)ccc21,ASAP-0027846,2.6,-3.87942606879415,,,,,,,,=,=,,,,,,,,
101,C=CC[C@H](Nc1cccc(-c2nn[nH]n2)c1)c1cc(Cl)cc(NC(=O)OCc2ccccc2)c1,ASAP-0027823,4.1,-3.4775557664936803,1.8228216453031045,,,,,,,=,=,=,,,,,,,
102,c1ccc(-c2cc(Sc3nnc(N4CCOCC4)s3)n3ncnc3n2)cc1,ASAP-0027763,2.1,-5.301029995663981,2.4638929889859074,2.7958800173440754,,,,,,=,=,=,=,,,,,,
103,O=S(=O)(NCCc1nccc(O)n1)N1CCNCC1,ASAP-0027787,,-3.4559319556497243,,,,,,,,,=,,,,,,,,
104,N#C[C@H](Nc1cccc(-c2nn[nH]n2)c1)c1cc(Cl)cc(NC(=O)OCc2ccccc2)c1,ASAP-0027741,3.2,-3.462180904926726,1.1643528557844371,,,,,,,=,=,=,,,,,,,
105,O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]ncc12,ASAP-0027808,0.9,-3.552841968657781,,2.387389826338729,,,,,,=,=,,=,,,,,,
106,N#C[C@H](Nc1cccc(C(=O)O)c1)c1cc(Cl)cc2[nH]ncc12,ASAP-0027804,0.6,-3.9469215565165805,1.1139433523068367,,,,,,,=,=,=,,,,,,,
107,NCc1cc(C(=O)O)cc([C@@H]2C[C@H]2c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)c1,ASAP-0027768,2.7,-4.275724130399211,,,,,,,,=,=,,,,,,,,
108,CNCc1cc(Sc2nnc(-c3ccc(Cl)cc3)n2C)n2ncnc2n1,ASAP-0027762,0.7,-3.447331783887807,0.0,0.0,,,,,,=,=,=,=,,,,,,
109,CNC(=O)[C@H](Nc1cc(Cl)cc(NC(=O)OCc2ccccc2)c1)c1cccc(-c2nn[nH]n2)c1,ASAP-0027759,2.2,-3.4762535331884354,1.3483048630481607,,,,,,,=,=,=,,,,,,,
110,CNC(=O)[C@H](Nc1cccc(-c2nn[nH]n2)c1)c1cc(Cl)cc2[nH]ncc12,ASAP-0027758,0.3,-3.4584207560534193,,,,,,,,=,=,,,,,,,,
111,Cc1csc(Sc2cc(-c3ccccc3)nc3ncnn23)n1,ASAP-0027659,2.9,-5.154901959985743,,,,,,,,=,=,,,,,,,,
112,COc1ccc(-c2nnc(Sc3cc(-c4ccccc4)nc4ncnn34)n2C)cc1,ASAP-0027661,2.6,-4.920818753952375,,,,,,,,=,=,,,,,,,,
113,c1ccc(-c2cc(Sc3nc(-c4ccccn4)no3)n3cnnc3n2)cc1,ASAP-0027553,2.7,-4.130768280269024,0.0,0.0,,,,,,=,=,=,=,,,,,,
114,CCn1c(C)nnc1Sc1cc(-c2ccccc2)nc2ncnn12,ASAP-0023327,1.4,-3.5466816599529625,1.557507201905658,1.3242824552976926,,,,,,=,=,=,=,,,,,,
115,O=C(O)COc1cccc(NC(=O)c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)c1,ASAP-0023462,1.8,-3.4424927980943423,,,,,,,,=,=,,,,,,,,
116,Cn1c(Sc2cc(-c3ccon3)nc3ncnn23)nnc1-c1ccc(Cl)cc1,ASAP-0023443,2.0,-5.045757490560675,,,,,,,,=,=,,,,,,,,
117,Cc1ccc(-c2nnc(Sc3cc(-c4ccccc4)nc4ncnn34)o2)cc1,ASAP-0023493,4.3,,,,,,,,,=,,,,,,,,,
118,Clc1ccc(-c2cnc(Sc3cc(-c4ccccc4)nc4nncn34)o2)cc1,ASAP-0023517,4.2,,1.4183012913197455,1.4487063199050798,,,,,,=,,=,=,,,,,,
119,COc1cccc(-c2nnc(Sc3cc(-c4ccccc4)nc4ncnn34)o2)c1,ASAP-0023516,4.1,-5.154901959985743,,,,,,,,=,=,,,,,,,,
120,O=C(Nc1cc(Cl)cc(C(=O)Nc2cccc(-n3nn[nH]c3=O)c2)c1)OCc1ccccc1,ASAP-0023274,3.8,-3.96657624451305,1.0863598306747482,,,,,,,=,=,=,,,,,,,
121,O=C(Nc1cc(Cl)cc(C(=O)Nc2cccc(-c3nnn[nH]3)c2)c1)OCc1ccccc1,ASAP-0023270,3.7,-4.180456064458132,,,,,,,,=,=,,,,,,,,
122,Cc1ccc2oc(Sc3cc(-c4ccccc4)nc4ncnn34)nc2c1,ASAP-0023164,4.4,-5.3979400086720375,,,,,,,,=,=,,,,,,,,
123,O=C(N[C@H]1[C@H]2CCCCC[C@H]2[C@H]1C(=O)Nc1cccc(C2CCNCC2)c1)OCc1ccccc1,ASAP-0023249,2.8,-4.301029995663981,1.5092025223311027,,,,,,,=,=,=,,,,,,,
124,COc1ccc(-c2nnc(Sc3cc(-c4ccccc4)nc4ncnn34)o2)cc1,ASAP-0023183,4.0,-4.3979400086720375,,,,,,,,=,=,,,,,,,,
125,Clc1ccc(-c2nnc(Sc3cc(-c4ccccc4)nc4ncnn34)o2)cc1,ASAP-0023182,4.2,-5.522878745280337,,,,,,,,=,=,,,,,,,,
126,CC[C@H](Cc1nnn[nH]1)c1ccc(NC(=O)c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)cc1,ASAP-0023266,4.1,-4.214670164989233,1.413299764081252,,,,,,,=,=,=,,,,,,,
127,Cn1c(Sc2cc(-c3ccccc3)nc3ncnn23)nnc1-c1ccncc1,ASAP-0022872,1.4,-4.657577319177793,2.2430380486862944,2.1172712956557644,,,,,,=,=,=,=,,,,,,
128,c1ccc(-c2cc(Sc3ncco3)n3ncnc3n2)cc1,ASAP-0022831,2.3,-4.275724130399211,2.5224442335063197,3.017450729510536,,,,,,=,=,=,=,,,,,,
129,CC(C)COc1noc2cc(OCCCc3cc(C(=O)N(C)C)no3)ccc12,ASAP-0022679,4.4,-4.920818753952375,1.6242820958356683,2.0034605321095063,,,,,,=,=,=,=,,,,,,
130,CC(C)COc1ccc2c(OCCCc3cc(C(=O)N(C)C)no3)noc2c1,ASAP-0022579,,-4.795880017344075,1.9827233876685453,1.841984804590114,,,,,,,=,=,=,,,,,,
131,Cc1ccc(-c2nnc(Sc3cc(-c4ccccc4)nc4ncnn34)n2C)cc1,ASAP-0022881,3.0,-5.096910013008056,2.3783979009481375,2.0827853703164503,,,,,,=,=,=,=,,,,,,
132,CCc1cc(C(=O)Nc2cccc(CN)c2)sc1-c1ccc(Cl)cc1,ASAP-0022528,4.3,-5.096910013008056,,,,,,,,=,=,,,,,,,,
133,CC(C)c1nc2c(C(=O)Nc3cccc(CN)c3)cccc2[nH]1,ASAP-0022538,1.9,-3.4989407377822483,,,,,,,,=,=,,,,,,,,
